Filename;Hidden Content Present;Estimated Size of Hidden Content (Bytes);Speed Hidden Content Present (ms);Speed Size Estimation (ms);Speed Recovering Hidden Content (ms)
008579.png;True;207;0,74;489,12;0,75
009804.png;True;154;0,74;512,88;0,57
009995.png;True;154;1,4;517,06;0,58
010092.png;True;160;0,75;503,84;0,59
010149.png;True;219;0,76;503,26;0,82
010175.png;True;154;0,75;507,52;0,62
010191.png;True;154;0,76;505,58;0,59
010258.png;True;154;0,75;506,12;0,59
010263.png;True;153;0,76;508,71;0,57
010285.png;True;155;0,75;504;0,58
010392.png;True;502;0,76;501,7;1,83
010437.png;True;226;0,75;504,55;0,83
010513.png;True;383;0,75;504,62;1,43
010517.png;True;154;0,76;509,37;0,59
010573.png;True;443;0,78;505;1,65
010729.png;True;223;0,77;505,13;0,87
010807.png;True;154;0,77;506,11;0,58
010905.png;True;154;0,77;501,18;0,6
011029.png;True;230;0,79;500,73;0,88
011075.png;True;154;0,77;509,99;0,6
011076.png;True;446;0,78;505,39;1,68
011094.png;True;155;0,77;504,98;0,59
011096.png;True;230;0,78;504,09;0,87
011107.png;True;140;0,75;501,72;0,52
011152.png;True;154;0,77;502,19;0,57
011214.png;True;120;0,76;507,9;0,46
011232.png;True;134;0,76;515,3;0,5
011318.png;True;154;0,75;505,91;0,58
011354.png;True;155;0,75;503,09;0,58
011400.png;True;669;0,75;506,78;2,55
011493.png;True;425;0,76;528,65;1,6
011631.png;True;130;0,79;518,44;0,49
011653.png;True;154;0,75;516,25;0,6
011832.png;True;154;0,78;517,77;0,58
011848.png;True;123;0,75;504,14;0,46
011850.png;True;331;0,75;502,03;1,22
011853.png;True;236;0,75;503,98;0,86
011884.png;True;446;0,76;523,2;1,62
011941.png;True;155;0,76;504,09;0,58
011984.png;True;154;0,75;502,1;0,58
012011.png;True;154;0,75;503,35;0,58
012022.png;True;154;0,75;504,57;0,57
012023.png;True;154;0,75;504,68;0,57
012035.png;True;152;0,75;501,54;0,57
012113.png;True;154;0,79;505,1;0,57
012207.png;True;157;0,75;504,47;0,58
012213.png;True;111;1,3;503,68;0,42
012230.png;True;154;0,75;498,76;0,58
012273.png;True;235;0,75;505,13;0,89
012302.png;True;154;0,77;505,07;0,59
012353.png;True;145;0,76;505,82;0,54
012356.png;True;153;0,76;504,91;0,8
012370.png;True;444;0,82;503,28;1,65
012447.png;True;154;0,76;502,96;0,6
012464.png;True;157;0,76;503,14;0,59
012475.png;True;137;0,76;506,53;0,52
012502.png;True;155;0,76;504,07;0,59
012634.png;True;154;1,06;505,54;0,57
012652.png;True;126;0,75;504,61;0,48
012657.png;True;154;0,76;501,68;0,57
012700.png;True;116;0,76;502,25;0,44
012733.png;True;154;0,75;506,08;0,6
012862.png;True;240;0,77;504,27;0,91
012885.png;True;157;0,78;504,87;0,6
012973.png;True;155;0,77;505,63;0,59
012978.png;True;262;0,77;504,6;0,95
013054.png;True;586;0,76;502,82;2,12
013124.png;True;148;0,74;503,68;0,56
013159.png;True;154;0,77;506,72;0,59
013199.png;True;501;0,77;507,14;1,89
013222.png;True;157;0,77;503,35;0,61
013325.png;True;154;0,78;505,47;0,58
013354.png;True;655;0,75;504,01;2,38
013604.png;True;399;0,75;505,04;1,46
013654.png;True;442;0,75;501,7;1,64
013669.png;True;155;0,76;504,71;0,58
013673.png;True;2247;0,76;502,35;8,28
013722.png;True;446;0,78;505,08;1,64
013729.png;True;230;0,76;507,31;0,95
013731.png;True;154;0,76;505,74;0,58
013750.png;True;123;0,76;501,28;0,46
013766.png;True;157;0,76;505,82;0,59
013808.png;True;237;0,76;506,6;0,87
013817.png;True;290;0,76;506,08;1,12
013837.png;True;155;0,75;514,84;0,63
013968.png;True;132;0,81;516,14;0,5
014024.png;True;232;0,75;504,44;0,86
014035.png;True;234;0,75;502,58;0,86
014062.png;True;225;0,75;504,43;0,83
014068.png;True;228;0,76;502,61;0,84
014118.png;True;114;0,75;504,22;0,43
014126.png;True;524;0,75;505,31;1,91
014163.png;True;154;0,74;500,87;0,57
014176.png;True;155;0,76;503,87;0,58
014193.png;True;230;0,76;509,22;0,86
014206.png;True;157;0,75;504,54;0,63
014311.png;True;122;0,76;507,32;0,46
014326.png;True;232;0,77;510,39;0,87
014352.png;True;154;0,76;505,32;0,57
014384.png;True;266;0,76;500,77;0,98
014394.png;True;148;0,76;501,2;0,56
014432.png;True;155;1,02;506,39;0,59
014558.png;True;154;0,78;505,95;0,59
014604.png;True;236;0,78;505,9;0,87
014610.png;True;111;0,77;504,92;0,43
014698.png;True;2247;0,75;500,56;9,59
014809.png;True;153;0,8;508,91;0,58
014813.png;True;111;0,76;510,8;0,43
014827.png;True;227;0,76;507,27;0,83
014908.png;True;154;0,75;524,94;0,58
014944.png;True;666;0,94;504,21;2,46
014957.png;True;154;0,78;510,74;0,59
014972.png;True;228;0,77;504,04;0,84
015000.png;True;142;0,76;502,54;0,54
015007.png;True;158;0,77;504,75;0,61
015027.png;True;136;0,77;501,98;0,5
015041.png;True;116;0,76;506,91;0,44
015127.png;True;157;0,78;505,48;0,6
015159.png;True;126;0,77;508,35;0,48
015172.png;True;155;0,75;507,65;0,58
015257.png;True;230;0,75;506,97;0,85
015345.png;True;222;0,75;506,17;0,82
015452.png;True;657;0,76;504,04;2,4
015463.png;True;230;0,76;503,67;0,85
015524.png;True;527;0,76;507,51;1,92
015554.png;True;499;0,76;506,28;1,82
015567.png;True;456;0,76;505,04;1,66
015598.png;True;154;0,88;505,62;0,57
015656.png;True;230;0,76;503,99;0,85
015712.png;True;137;0,76;506,99;0,51
015759.png;True;120;0,82;511,66;0,45
015903.png;True;155;0,79;508,91;0,58
015904.png;True;444;0,76;503,83;1,62
016018.png;True;154;0,76;504,58;0,58
016025.png;True;157;1,09;508,51;0,58
016039.png;True;236;0,76;506,23;0,88
016061.png;True;154;0,77;508,83;0,59
016075.png;True;154;0,77;504,69;0,57
016085.png;True;155;0,76;507,22;0,58
016087.png;True;130;0,76;506,86;0,49
016111.png;True;228;0,77;501,91;0,84
016112.png;True;332;0,76;506,07;1,22
016246.png;True;154;0,76;504,02;0,57
016343.png;True;155;0,76;505,01;0,58
016353.png;True;134;0,75;506,61;0,5
016404.png;True;154;0,76;506,31;0,57
016452.png;True;236;0,76;507,77;0,88
016471.png;True;138;0,76;500,39;0,52
016635.png;True;154;0,76;499,89;0,57
016675.png;True;152;0,77;507,03;0,59
016706.png;True;446;0,77;504,06;2,55
016759.png;True;984;0,75;505,78;3,72
016815.png;True;154;0,81;508,41;0,58
016836.png;True;442;0,76;506,12;1,65
017009.png;True;185;0,78;503,58;0,69
017058.png;True;443;0,76;508,42;1,67
017068.png;True;527;0,77;503,98;1,93
017071.png;True;154;0,76;508,27;0,59
017110.png;True;194;0,78;502,01;0,74
017182.png;True;154;0,99;507,06;0,59
017243.png;True;422;0,78;504,65;1,59
017266.png;True;233;0,77;505,7;0,88
017323.png;True;445;0,79;507,64;1,66
017356.png;True;133;0,77;504,29;0,52
017362.png;True;231;0,78;504,65;0,87
017453.png;True;157;0,77;508,9;0,6
017470.png;True;154;0,77;509,78;0,59
017581.png;True;223;0,78;507,77;0,82
017594.png;True;155;0,75;507,36;0,58
017597.png;True;254;0,76;501,92;0,94
017600.png;True;158;0,77;507,61;0,59
