Filename;Hidden Content Present;Estimated Size of Hidden Content (Bytes);Speed Hidden Content Present (ms);Speed Size Estimation (ms);Speed Recovering Hidden Content (ms)
041858.png;True;332;0,96;8390,61;1,31
041981.png;True;154;0,78;8105,63;0,6
041989.png;True;155;0,8;8100,16;0,59
042048.png;True;134;0,79;8074,48;0,52
042080.png;True;154;0,83;8084,97;0,6
042107.png;True;236;0,79;8137,66;0,89
042147.png;True;138;0,78;8170,24;0,55
042165.png;True;154;0,78;8103,32;0,59
042269.png;True;152;1,23;8128,73;0,58
042371.png;True;446;0,79;8115,38;1,65
042461.png;True;984;0,78;8064,97;3,59
042490.png;True;154;0,87;8091,65;0,59
042508.png;True;442;0,79;8128,46;1,66
042510.png;True;185;0,78;8071,45;0,72
042546.png;True;443;0,88;8132,56;1,67
042595.png;True;527;0,78;8107,43;1,97
042639.png;True;154;0,78;8074,59;0,59
042722.png;True;194;0,78;8092,05;0,74
042879.png;True;154;0,78;8051,73;0,6
042974.png;True;422;0,79;8102,79;1,62
043060.png;True;233;0,78;8099,51;0,87
043064.png;True;445;0,79;8164,22;1,64
043074.png;True;133;0,79;8131,69;0,51
043084.png;True;231;0,79;8087,65;0,88
043089.png;True;157;0,78;8139,42;0,61
043092.png;True;154;0,79;8078,55;0,6
043108.png;True;223;0,78;8166,45;0,84
043112.png;True;155;0,8;8086,9;0,68
043201.png;True;254;0,78;8150,29;0,95
043291.png;True;158;0,79;8102,78;0,61
043302.png;True;502;0,78;8170,46;1,86
043309.png;True;117;0,81;8153,0;0,46
043328.png;True;237;0,78;8088,04;0,89
043332.png;True;157;0,79;8116,57;0,61
043356.png;True;186;0,78;8069,4;0,76
043365.png;True;155;0,78;8136,96;0,59
043410.png;True;155;0,78;8127,64;0,6
043580.png;True;444;0,78;8147,15;1,63
043589.png;True;671;0,8;8093,06;2,46
043619.png;True;138;0,79;8063,58;0,53
043682.png;True;154;0,79;8125,31;0,59
043726.png;True;230;0,78;8162,13;0,87
043775.png;True;444;0,8;8111,87;1,64
043798.png;True;131;0,78;8178,14;0,52
043829.png;True;339;0,81;8081,08;1,28
043860.png;True;154;0,79;8133,21;0,58
043869.png;True;446;0,79;8078,74;1,69
043901.png;True;158;0,79;8111,25;0,6
043904.png;True;525;0,79;8072,62;1,93
