Filename;Hidden Content Present;Estimated Size of Hidden Content (Bytes);Speed Hidden Content Present (ms);Speed Size Estimation (ms);Speed Recovering Hidden Content (ms)
027701.png;True;207;0,77;2097,04;0,84
028612.png;True;154;0,81;2068,31;0,59
028647.png;True;154;0,77;2032,35;0,61
028692.png;True;160;0,8;2039,82;0,61
028981.png;True;219;0,77;2036,26;0,84
029096.png;True;154;0,77;2033,77;0,59
029359.png;True;154;0,78;2034,02;0,58
029362.png;True;154;0,78;2026,74;0,59
029386.png;True;152;0,77;2039,37;0,57
029484.png;True;155;0,77;2027,38;0,58
029548.png;True;502;0,77;2041,79;1,91
029562.png;True;227;0,78;2044,53;0,85
029676.png;True;383;0,78;2020,57;1,45
029799.png;True;154;0,77;2027,92;0,6
029835.png;True;443;0,78;2036,4;1,65
029842.png;True;223;0,77;2035,95;0,84
029985.png;True;154;0,78;2029,48;0,58
029997.png;True;154;0,79;2040,61;0,63
030060.png;True;230;0,79;2051,45;0,88
030092.png;True;154;0,78;2035,87;0,6
030197.png;True;446;0,79;2042,34;1,68
030390.png;True;155;0,78;2084,71;0,62
030403.png;True;230;0,78;2052,81;0,92
030416.png;True;140;0,78;2033,79;0,54
030456.png;True;154;0,78;2038,17;0,59
030460.png;True;120;0,78;2031,22;0,47
030504.png;True;134;0,78;2023,74;0,53
030519.png;True;154;0,78;2042,71;0,59
030582.png;True;155;0,77;2037,94;0,6
030611.png;True;669;0,78;2032,27;2,47
030660.png;True;425;0,78;2035,29;1,6
030664.png;True;130;0,77;2030,64;0,51
030665.png;True;154;0,78;2035,1;0,6
030776.png;True;154;0,77;2039,35;0,6
030816.png;True;123;0,78;2033,58;0,47
030822.png;True;330;0,77;2028,85;1,25
030823.png;True;236;0,79;2030,19;0,88
030844.png;True;446;0,78;2034,49;1,75
030887.png;True;154;0,79;2037,22;0,6
030896.png;True;154;0,78;2035,28;0,59
030995.png;True;154;0,79;2021,55;0,58
031002.png;True;154;0,78;2037,47;0,59
031079.png;True;154;0,79;2038,38;0,58
031158.png;True;152;0,78;2030,74;0,59
031239.png;True;154;0,78;2033,26;0,6
031299.png;True;157;0,86;2037,56;0,6
031497.png;True;111;0,78;2032,64;0,42
031559.png;True;154;1,29;2038,64;0,58
031594.png;True;235;0,77;2036,51;0,89
031598.png;True;154;0,78;2032,49;0,59
