Injected File;Script;Script Size in Bytes
027701.png;0_obfuscated;553
028612.png;1000_obfuscated;409
028647.png;1001_obfuscated;409
028692.png;1002_obfuscated;425
028981.png;1004_obfuscated;409
029096.png;1005_obfuscated;409
029359.png;1006_obfuscated;409
029362.png;1007_obfuscated;409
029386.png;1008_obfuscated;413
029484.png;1009_obfuscated;1337
029548.png;1011_obfuscated;409
029562.png;1012_obfuscated;1181
029676.png;1014_obfuscated;409
029799.png;1015_obfuscated;409
029835.png;1017_obfuscated;409
029842.png;1018_obfuscated;1189
029985.png;1019_obfuscated;413
029997.png;1020_obfuscated;373
030060.png;1021_obfuscated;409
030092.png;1022_obfuscated;380
030197.png;1024_obfuscated;409
030390.png;1025_obfuscated;413
030403.png;1027_obfuscated;1153
030416.png;1029_obfuscated;409
030456.png;102_obfuscated;409
030460.png;1030_obfuscated;385
030504.png;1033_obfuscated;1189
030519.png;1034_obfuscated;413
030582.png;1035_obfuscated;409
030611.png;1036_obfuscated;409
030660.png;1037_obfuscated;409
030664.png;1038_obfuscated;409
030665.png;1039_obfuscated;405
030776.png;103_obfuscated;409
030816.png;1040_obfuscated;417
030822.png;1041_obfuscated;297
030823.png;1042_obfuscated;409
030844.png;1044_obfuscated;409
030887.png;1046_obfuscated;409
030896.png;1047_obfuscated;1185
030995.png;1048_obfuscated;409
031002.png;1049_obfuscated;417
031079.png;1050_obfuscated;413
031158.png;1051_obfuscated;409
031239.png;1053_obfuscated;409
031299.png;1054_obfuscated;378
031497.png;1056_obfuscated;641
031559.png;1057_obfuscated;417
031594.png;1058_obfuscated;413
031598.png;1059_obfuscated;365
031600.png;105_obfuscated;1201
031609.png;1060_obfuscated;393
031613.png;1061_obfuscated;409
031746.png;1062_obfuscated;1337
031764.png;1063_obfuscated;417
031766.png;1064_obfuscated;409
031791.png;1066_obfuscated;1081
031805.png;1067_obfuscated;1177
031831.png;1068_obfuscated;413
031836.png;1069_obfuscated;5993
031979.png;106_obfuscated;1189
032034.png;1071_obfuscated;409
032113.png;1072_obfuscated;382
032152.png;1073_obfuscated;417
032181.png;1075_obfuscated;773
032185.png;1076_obfuscated;413
032205.png;107_obfuscated;601
032259.png;1080_obfuscated;609
032266.png;1081_obfuscated;305
032272.png;1082_obfuscated;1397
032375.png;1083_obfuscated;409
032398.png;1084_obfuscated;413
032414.png;1085_obfuscated;613
032447.png;1087_obfuscated;381
032452.png;1089_obfuscated;409
032495.png;108_obfuscated;709
032523.png;1091_obfuscated;413
032567.png;1092_obfuscated;409
032596.png;1093_obfuscated;629
032615.png;1094_obfuscated;297
032619.png;1095_obfuscated;5993
032701.png;1097_obfuscated;297
032708.png;1099_obfuscated;409
032714.png;10_obfuscated;409
032760.png;1100_obfuscated;609
032761.png;1101_obfuscated;377
032784.png;1102_obfuscated;421
032883.png;1104_obfuscated;378
032893.png;1105_obfuscated;417
032920.png;1107_obfuscated;413
033022.png;1111_obfuscated;1405
033023.png;1112_obfuscated;1329
033031.png;1113_obfuscated;1217
033088.png;1114_obfuscated;409
033097.png;1117_obfuscated;321
033146.png;1118_obfuscated;413
033159.png;1119_obfuscated;1185
033170.png;111_obfuscated;409
033213.png;1120_obfuscated;417
033222.png;1122_obfuscated;409
033240.png;1123_obfuscated;409
033254.png;1124_obfuscated;413
033274.png;1125_obfuscated;345
033292.png;1128_obfuscated;409
033300.png;1129_obfuscated;413
033333.png;1130_obfuscated;409
033357.png;1131_obfuscated;629
033442.png;1132_obfuscated;369
033560.png;1133_obfuscated;409
033577.png;1134_obfuscated;405
033619.png;1135_obfuscated;1189
033636.png;1136_obfuscated;2625
033645.png;1137_obfuscated;409
033703.png;1138_obfuscated;1177
033714.png;1139_obfuscated;493
033853.png;113_obfuscated;1181
033874.png;1140_obfuscated;1405
033926.png;1141_obfuscated;409
033938.png;1142_obfuscated;517
033987.png;1143_obfuscated;409
034025.png;1144_obfuscated;753
034081.png;1146_obfuscated;1185
034084.png;1149_obfuscated;417
034099.png;114_obfuscated;409
034115.png;1151_obfuscated;413
034179.png;1152_obfuscated;677
034405.png;1153_obfuscated;421
034429.png;1154_obfuscated;1337
034459.png;1155_obfuscated;377
034555.png;1157_obfuscated;417
034577.png;1158_obfuscated;497
034644.png;1159_obfuscated;413
034679.png;115_obfuscated;413
034714.png;1160_obfuscated;1185
034746.png;1163_obfuscated;409
034769.png;1165_obfuscated;1185
034820.png;1168_obfuscated;409
034970.png;1169_obfuscated;1189
035016.png;116_obfuscated;421
035023.png;1170_obfuscated;1401
035033.png;1171_obfuscated;409
035048.png;1172_obfuscated;413
035066.png;1173_obfuscated;409
035134.png;1174_obfuscated;421
035145.png;1175_obfuscated;409
035218.png;1176_obfuscated;409
035240.png;1177_obfuscated;1185
035290.png;1178_obfuscated;377
035442.png;117_obfuscated;413
035445.png;1180_obfuscated;380
035509.png;1181_obfuscated;329
035579.png;1182_obfuscated;421
035619.png;1183_obfuscated;321
035671.png;1184_obfuscated;1529
035673.png;1185_obfuscated;297
035685.png;1186_obfuscated;413
035687.png;1187_obfuscated;413
035764.png;1188_obfuscated;417
035791.png;1189_obfuscated;1181
035801.png;1190_obfuscated;1153
035815.png;1191_obfuscated;221
035844.png;1192_obfuscated;537
035867.png;1194_obfuscated;417
035922.png;1196_obfuscated;413
035944.png;1197_obfuscated;385
035950.png;1198_obfuscated;409
036005.png;1199_obfuscated;1337
036012.png;119_obfuscated;395
036132.png;1201_obfuscated;1217
036160.png;1202_obfuscated;409
036314.png;1203_obfuscated;409
036370.png;1204_obfuscated;409
036392.png;1205_obfuscated;337
036417.png;1206_obfuscated;409
036440.png;1208_obfuscated;413
036477.png;1209_obfuscated;309
036495.png;1210_obfuscated;1565
036551.png;1212_obfuscated;1177
036577.png;1213_obfuscated;380
036594.png;1215_obfuscated;1177
036598.png;1216_obfuscated;421
036634.png;1217_obfuscated;421
036772.png;1218_obfuscated;6217
036909.png;121_obfuscated;1177
036938.png;1220_obfuscated;613
036951.png;1223_obfuscated;409
