Injected File;Script;Script Size in Bytes
008579.png;0_deobfuscated;207
009804.png;1000_deobfuscated;154
009995.png;1001_deobfuscated;154
010092.png;1002_deobfuscated;160
010149.png;1003_deobfuscated;219
010175.png;1004_deobfuscated;154
010191.png;1005_deobfuscated;154
010258.png;1006_deobfuscated;154
010263.png;1007_deobfuscated;153
010285.png;1008_deobfuscated;155
010392.png;1009_deobfuscated;502
010437.png;100_deobfuscated;227
010513.png;1010_deobfuscated;383
010517.png;1011_deobfuscated;154
010573.png;1012_deobfuscated;443
010729.png;1013_deobfuscated;223
010807.png;1014_deobfuscated;154
010905.png;1015_deobfuscated;154
011029.png;1016_deobfuscated;230
011075.png;1017_deobfuscated;154
011076.png;1018_deobfuscated;446
011094.png;1019_deobfuscated;155
011096.png;101_deobfuscated;230
011107.png;1020_deobfuscated;140
011152.png;1021_deobfuscated;154
011214.png;1022_deobfuscated;120
011232.png;1023_deobfuscated;134
011318.png;1024_deobfuscated;154
011354.png;1025_deobfuscated;155
011400.png;1026_deobfuscated;669
011493.png;1027_deobfuscated;425
011631.png;1028_deobfuscated;130
011653.png;1029_deobfuscated;154
011832.png;102_deobfuscated;154
011848.png;1030_deobfuscated;123
011850.png;1031_deobfuscated;331
011853.png;1032_deobfuscated;236
011884.png;1033_deobfuscated;446
011941.png;1034_deobfuscated;155
011984.png;1035_deobfuscated;154
012011.png;1036_deobfuscated;154
012022.png;1037_deobfuscated;154
012023.png;1038_deobfuscated;154
012035.png;1039_deobfuscated;152
012113.png;103_deobfuscated;154
012207.png;1040_deobfuscated;157
012213.png;1041_deobfuscated;111
012230.png;1042_deobfuscated;154
012273.png;1043_deobfuscated;235
012302.png;1044_deobfuscated;154
012353.png;1045_deobfuscated;145
012356.png;1046_deobfuscated;154
012370.png;1047_deobfuscated;444
012447.png;1048_deobfuscated;154
012464.png;1049_deobfuscated;157
012475.png;104_deobfuscated;137
012502.png;1050_deobfuscated;155
012634.png;1051_deobfuscated;154
012652.png;1052_deobfuscated;126
012657.png;1053_deobfuscated;154
012700.png;1054_deobfuscated;116
012733.png;1055_deobfuscated;154
012862.png;1056_deobfuscated;240
012885.png;1057_deobfuscated;157
012973.png;1058_deobfuscated;155
012978.png;1059_deobfuscated;262
013054.png;105_deobfuscated;586
013124.png;1060_deobfuscated;148
013159.png;1061_deobfuscated;154
013199.png;1062_deobfuscated;501
013222.png;1063_deobfuscated;157
013325.png;1064_deobfuscated;154
013354.png;1065_deobfuscated;655
013604.png;1066_deobfuscated;399
013654.png;1067_deobfuscated;442
013669.png;1068_deobfuscated;155
013673.png;1069_deobfuscated;2247
013722.png;106_deobfuscated;446
013729.png;1070_deobfuscated;230
013731.png;1071_deobfuscated;154
013750.png;1072_deobfuscated;123
013766.png;1073_deobfuscated;157
013808.png;1074_deobfuscated;237
013817.png;1075_deobfuscated;298
013837.png;1076_deobfuscated;155
013968.png;1077_deobfuscated;132
014024.png;1078_deobfuscated;232
014035.png;1079_deobfuscated;234
014062.png;107_deobfuscated;225
014068.png;1080_deobfuscated;236
014118.png;1081_deobfuscated;114
014126.png;1082_deobfuscated;524
014163.png;1083_deobfuscated;154
014176.png;1084_deobfuscated;155
014193.png;1085_deobfuscated;238
014206.png;1086_deobfuscated;157
014311.png;1087_deobfuscated;122
014326.png;1088_deobfuscated;232
014352.png;1089_deobfuscated;154
014384.png;108_deobfuscated;266
014394.png;1090_deobfuscated;148
014432.png;1091_deobfuscated;155
014558.png;1092_deobfuscated;154
014604.png;1093_deobfuscated;244
014610.png;1094_deobfuscated;111
014698.png;1095_deobfuscated;2247
014809.png;1096_deobfuscated;153
014813.png;1097_deobfuscated;111
014827.png;1098_deobfuscated;227
014908.png;1099_deobfuscated;154
014944.png;109_deobfuscated;666
014957.png;10_deobfuscated;154
014972.png;1100_deobfuscated;236
015000.png;1101_deobfuscated;142
015007.png;1102_deobfuscated;158
015027.png;1103_deobfuscated;136
015041.png;1104_deobfuscated;116
015127.png;1105_deobfuscated;157
015159.png;1106_deobfuscated;126
015172.png;1107_deobfuscated;155
015257.png;1108_deobfuscated;230
015345.png;1109_deobfuscated;222
015452.png;110_deobfuscated;657
015463.png;1110_deobfuscated;230
015524.png;1111_deobfuscated;527
015554.png;1112_deobfuscated;499
015567.png;1113_deobfuscated;456
015598.png;1114_deobfuscated;154
015656.png;1115_deobfuscated;230
015712.png;1116_deobfuscated;137
015759.png;1117_deobfuscated;120
015903.png;1118_deobfuscated;155
015904.png;1119_deobfuscated;444
016018.png;111_deobfuscated;154
016025.png;1120_deobfuscated;157
016039.png;1121_deobfuscated;236
016061.png;1122_deobfuscated;154
