Injected File;Script;Script Size in Bytes
018964.png;1239_obfuscated;409
018988.png;123_obfuscated;409
018996.png;1240_obfuscated;1181
019072.png;1241_obfuscated;405
019120.png;1242_obfuscated;413
019126.png;1243_obfuscated;609
019151.png;1245_obfuscated;413
019209.png;1246_obfuscated;673
019241.png;1247_obfuscated;409
019335.png;1248_obfuscated;409
019406.png;1249_obfuscated;384
019420.png;1250_obfuscated;409
019438.png;1251_obfuscated;409
019459.png;1253_obfuscated;409
019463.png;1254_obfuscated;1189
019464.png;1256_obfuscated;421
019465.png;1257_obfuscated;1553
019466.png;1258_obfuscated;361
019467.png;1259_obfuscated;417
019468.png;125_obfuscated;413
019469.png;1260_obfuscated;401
019470.png;1263_obfuscated;629
019472.png;1264_obfuscated;1389
019484.png;1268_obfuscated;413
019489.png;1269_obfuscated;413
019491.png;126_obfuscated;382
019492.png;1271_obfuscated;421
019496.png;1272_obfuscated;409
019503.png;1273_obfuscated;1129
019504.png;1274_obfuscated;383
019505.png;1276_obfuscated;413
019509.png;1278_obfuscated;409
019516.png;1280_obfuscated;413
019519.png;1282_obfuscated;1181
019523.png;1283_obfuscated;1189
019526.png;1284_obfuscated;1189
019530.png;1285_obfuscated;409
019533.png;1286_obfuscated;381
019542.png;1287_obfuscated;409
019546.png;1288_obfuscated;1181
019550.png;128_obfuscated;413
019553.png;1290_obfuscated;1337
019554.png;1292_obfuscated;1133
019555.png;1294_obfuscated;413
019558.png;1295_obfuscated;409
019565.png;1296_obfuscated;409
019566.png;1298_obfuscated;409
019568.png;1299_obfuscated;1801
019569.png;129_obfuscated;1285
019570.png;1300_obfuscated;413
019573.png;1301_obfuscated;365
019575.png;1302_obfuscated;413
019576.png;1304_obfuscated;386
019578.png;1305_obfuscated;413
019584.png;1308_obfuscated;1189
019585.png;1309_obfuscated;409
019587.png;130_obfuscated;397
019589.png;1310_obfuscated;1329
019597.png;1311_obfuscated;721
019600.png;1312_obfuscated;409
019601.png;1313_obfuscated;413
019602.png;1315_obfuscated;417
019610.png;1316_obfuscated;409
019614.png;1318_obfuscated;417
019618.png;1319_obfuscated;409
019621.png;131_obfuscated;421
019622.png;1320_obfuscated;417
019624.png;1322_obfuscated;413
019626.png;1323_obfuscated;773
019630.png;1324_obfuscated;381
019634.png;1325_obfuscated;409
019640.png;1326_obfuscated;409
019641.png;1327_obfuscated;437
019644.png;1328_obfuscated;413
019646.png;1329_obfuscated;409
019651.png;132_obfuscated;1185
019655.png;1330_obfuscated;1401
019656.png;1331_obfuscated;609
019659.png;1332_obfuscated;421
019660.png;1334_obfuscated;2353
019661.png;1335_obfuscated;217
019664.png;1336_obfuscated;409
019665.png;1337_obfuscated;641
019668.png;1339_obfuscated;1193
019673.png;133_obfuscated;1173
019674.png;1342_obfuscated;409
019679.png;1344_obfuscated;409
019680.png;1345_obfuscated;521
019681.png;1346_obfuscated;409
019682.png;1347_obfuscated;613
019683.png;1348_obfuscated;413
019684.png;1349_obfuscated;409
019685.png;134_obfuscated;369
019686.png;1350_obfuscated;409
019687.png;1352_obfuscated;409
019688.png;1353_obfuscated;621
019689.png;1354_obfuscated;6149
019690.png;1355_obfuscated;429
019691.png;1357_obfuscated;409
019692.png;1359_obfuscated;1341
019693.png;135_obfuscated;689
019694.png;1360_obfuscated;5993
019696.png;1361_obfuscated;321
019697.png;1362_obfuscated;1385
019699.png;1363_obfuscated;1205
019701.png;1364_obfuscated;1545
019702.png;1365_obfuscated;381
019714.png;1366_obfuscated;409
019721.png;1367_obfuscated;409
019723.png;1369_obfuscated;1189
019726.png;136_obfuscated;409
019729.png;1370_obfuscated;417
019730.png;1372_obfuscated;425
019732.png;1373_obfuscated;409
019733.png;1374_obfuscated;413
019734.png;1375_obfuscated;409
019739.png;1376_obfuscated;413
019740.png;1377_obfuscated;409
019741.png;1378_obfuscated;1193
019744.png;1379_obfuscated;409
019745.png;137_obfuscated;409
019749.png;1380_obfuscated;413
019751.png;1382_obfuscated;1133
019755.png;1383_obfuscated;409
019759.png;1384_obfuscated;357
019761.png;1385_obfuscated;409
019762.png;1386_obfuscated;382
019763.png;1387_obfuscated;297
019766.png;1388_obfuscated;383
019770.png;1389_obfuscated;409
019773.png;138_obfuscated;1337
019775.png;1390_obfuscated;409
019776.png;1391_obfuscated;1185
019777.png;1392_obfuscated;673
019778.png;1393_obfuscated;382
019780.png;1394_obfuscated;417
019782.png;1395_obfuscated;421
019783.png;1396_obfuscated;405
019784.png;1397_obfuscated;321
019785.png;1398_obfuscated;429
019786.png;1399_obfuscated;413
019787.png;139_obfuscated;413
019789.png;1400_obfuscated;613
019790.png;1401_obfuscated;409
019794.png;1402_obfuscated;449
019795.png;1403_obfuscated;421
019796.png;1404_obfuscated;401
019797.png;1405_obfuscated;413
019799.png;1406_obfuscated;409
019801.png;1407_obfuscated;421
019802.png;1408_obfuscated;381
019803.png;1409_obfuscated;625
019804.png;140_obfuscated;413
019805.png;1411_obfuscated;365
019806.png;1412_obfuscated;413
019807.png;1413_obfuscated;605
019812.png;1414_obfuscated;417
019813.png;1417_obfuscated;413
019814.png;1418_obfuscated;1193
019816.png;1420_obfuscated;405
019818.png;1422_obfuscated;409
019819.png;1424_obfuscated;409
019820.png;1425_obfuscated;421
019821.png;1426_obfuscated;421
019822.png;1427_obfuscated;1185
019823.png;1428_obfuscated;421
019825.png;1429_obfuscated;421
019827.png;142_obfuscated;413
019828.png;1431_obfuscated;413
019829.png;1433_obfuscated;409
019830.png;1434_obfuscated;609
019831.png;1435_obfuscated;409
019833.png;1436_obfuscated;409
019837.png;1438_obfuscated;391
019839.png;1439_obfuscated;409
019841.png;143_obfuscated;409
019843.png;1440_obfuscated;409
019844.png;1442_obfuscated;409
019846.png;1444_obfuscated;413
019847.png;1445_obfuscated;381
019849.png;1446_obfuscated;409
019850.png;1447_obfuscated;609
019852.png;1448_obfuscated;409
019853.png;1449_obfuscated;409
019855.png;144_obfuscated;381
019858.png;1450_obfuscated;376
019859.png;1452_obfuscated;413
019862.png;1453_obfuscated;1325
019868.png;1455_obfuscated;409
019869.png;1456_obfuscated;381
019870.png;1457_obfuscated;297
019872.png;1458_obfuscated;409
019873.png;1459_obfuscated;1937
019874.png;1460_obfuscated;384
019876.png;1461_obfuscated;1145
019877.png;1462_obfuscated;409
019879.png;1463_obfuscated;409
019880.png;1464_obfuscated;361
019882.png;1465_obfuscated;413
019883.png;1466_obfuscated;409
019884.png;1468_obfuscated;1237
019885.png;146_obfuscated;409
019886.png;1470_obfuscated;1189
019887.png;1471_obfuscated;421
019890.png;1472_obfuscated;385
019891.png;1473_obfuscated;409
019892.png;1474_obfuscated;609
019893.png;1475_obfuscated;409
019896.png;1476_obfuscated;413
