Injected File;Script;Script Size in Bytes
035903.png;0_obfuscated;553
036095.png;1000_obfuscated;409
036145.png;1001_obfuscated;409
036275.png;1002_obfuscated;425
036404.png;1004_obfuscated;409
036583.png;1005_obfuscated;409
036691.png;1006_obfuscated;409
036692.png;1007_obfuscated;409
036698.png;1008_obfuscated;413
036728.png;1009_obfuscated;1337
036770.png;1011_obfuscated;409
036869.png;1012_obfuscated;1181
036876.png;1014_obfuscated;409
036906.png;1015_obfuscated;409
036984.png;1017_obfuscated;409
036991.png;1018_obfuscated;1189
037071.png;1019_obfuscated;413
037114.png;1020_obfuscated;373
037127.png;1021_obfuscated;409
037136.png;1022_obfuscated;380
037168.png;1024_obfuscated;409
037314.png;1025_obfuscated;413
037324.png;1027_obfuscated;1153
037328.png;1029_obfuscated;409
037330.png;102_obfuscated;409
037366.png;1030_obfuscated;385
037497.png;1033_obfuscated;1189
037500.png;1034_obfuscated;413
037521.png;1035_obfuscated;409
037534.png;1036_obfuscated;409
037647.png;1037_obfuscated;409
037660.png;1038_obfuscated;409
037766.png;1039_obfuscated;405
037879.png;103_obfuscated;409
037901.png;1040_obfuscated;417
038031.png;1041_obfuscated;297
038110.png;1042_obfuscated;409
038135.png;1044_obfuscated;409
038166.png;1046_obfuscated;409
038191.png;1047_obfuscated;1185
038221.png;1048_obfuscated;409
038235.png;1049_obfuscated;417
038259.png;1050_obfuscated;413
038268.png;1051_obfuscated;409
038319.png;1053_obfuscated;409
038418.png;1054_obfuscated;378
038420.png;1056_obfuscated;641
038479.png;1057_obfuscated;417
038487.png;1058_obfuscated;413
038512.png;1059_obfuscated;365
038628.png;105_obfuscated;1201
038666.png;1060_obfuscated;393
038697.png;1061_obfuscated;409
038792.png;1062_obfuscated;1337
038857.png;1063_obfuscated;417
038862.png;1064_obfuscated;409
038883.png;1066_obfuscated;1081
038904.png;1067_obfuscated;1177
038917.png;1068_obfuscated;413
038924.png;1069_obfuscated;5993
038951.png;106_obfuscated;1189
038973.png;1071_obfuscated;409
038977.png;1072_obfuscated;382
038993.png;1073_obfuscated;417
039016.png;1075_obfuscated;773
039070.png;1076_obfuscated;413
039087.png;107_obfuscated;601
039128.png;1080_obfuscated;609
039140.png;1081_obfuscated;305
039218.png;1082_obfuscated;1397
039223.png;1083_obfuscated;409
039354.png;1084_obfuscated;413
039371.png;1085_obfuscated;613
039417.png;1087_obfuscated;381
039460.png;1089_obfuscated;409
039465.png;108_obfuscated;709
039476.png;1091_obfuscated;413
039617.png;1092_obfuscated;409
039670.png;1093_obfuscated;629
039678.png;1094_obfuscated;297
039686.png;1095_obfuscated;5993
039720.png;1097_obfuscated;297
039748.png;1099_obfuscated;409
