Filename;Hidden Content Present;Estimated Size of Hidden Content (Bytes);Speed Hidden Content Present (ms);Speed Size Estimation (ms);Speed Recovering Hidden Content (ms)
042165.png;True;154;16,64;0,93;0,0
042269.png;True;152;16,93;0,93;0,0
042371.png;True;446;16,66;1,85;0,0
042461.png;True;984;16,52;3,66;0,0
042490.png;True;154;16,46;0,93;0,0
042508.png;True;442;16,54;1,84;0,0
042510.png;True;185;16,81;0,96;0,0
042546.png;True;443;16,54;1,85;0,0
042595.png;True;527;16,63;2,07;0,0
042639.png;True;154;18,02;0,94;0,0
042722.png;True;194;17,5;1,23;0,0
042879.png;True;154;16,73;0,94;0,0
042974.png;True;422;16,74;1,84;0,0
043060.png;True;233;17,45;1,22;0,0
043064.png;True;445;16,62;1,84;0,0
043074.png;True;133;16,55;0,73;0,0
043084.png;True;231;16,55;1,17;0,0
043089.png;True;157;16,48;0,94;0,0
043092.png;True;154;16,76;0,94;0,0
043108.png;True;223;16,49;1,16;0,0
043112.png;True;155;16,45;0,94;0,0
043201.png;True;254;17,07;1,43;0,0
043291.png;True;158;16,64;0,98;0,0
043302.png;True;502;17,01;2,12;0,0
043309.png;True;117;17,03;0,76;0,0
043328.png;True;237;16,7;1,17;0,0
043332.png;True;157;16,63;0,94;0,0
043356.png;True;186;16,72;0,94;0,0
043365.png;True;155;16,59;0,95;0,0
043410.png;True;155;16,57;0,93;0,0
043580.png;True;444;16,67;1,85;0,0
043589.png;True;671;16,56;2,72;0,0
043619.png;True;138;16,78;0,93;0,0
043682.png;True;154;19,33;0,94;0,0
043726.png;True;231;16,85;1,34;0,0
043775.png;True;444;16,74;1,84;0,0
043798.png;True;131;16,38;0,71;0,0
043829.png;True;339;16,97;1,6;0,0
043860.png;True;154;16,86;0,94;0,0
043869.png;True;446;16,68;1,85;0,0
043901.png;True;158;16,65;0,98;0,0
043904.png;True;525;16,64;2,1;0,0
043955.png;True;154;16,68;0,94;0,0
043967.png;True;155;17,44;0,93;0,0
044051.png;True;154;18,44;0,98;0,0
044059.png;True;158;17,02;0,97;0,0
044079.png;True;154;16,84;0,96;0,0
044129.png;True;154;16,64;0,94;0,0
044209.png;True;444;16,56;1,85;0,0
044292.png;True;142;16,62;0,93;0,0
044363.png;True;150;17,31;0,94;0,0
044446.png;True;155;16,5;0,94;0,0
044488.png;True;121;16,66;0,72;0,0
044543.png;True;123;16,65;0,72;0,0
044575.png;True;158;16,59;0,94;0,0
044611.png;True;121;16,68;0,73;0,0
044647.png;True;574;16,86;2,37;0,0
044742.png;True;111;17,1;0,74;0,0
044946.png;True;155;17,03;0,96;0,0
044955.png;True;155;16,69;0,94;0,0
044974.png;True;157;16,62;0,94;0,0
045037.png;True;443;16,56;1,85;0,0
045046.png;True;226;16,68;1,16;0,0
045092.png;True;425;16,65;1,92;0,0
045131.png;True;82;16,52;0,7;0,0
045213.png;True;202;16,54;1,15;0,0
045239.png;True;228;17,04;1,22;0,0
045356.png;True;157;16,69;0,94;0,0
045510.png;True;132;17,05;0,76;0,0
045526.png;True;155;18,28;0,97;0,0
045557.png;True;123;16,85;0,8;0,0
045628.png;True;154;16,48;0,93;0,0
045652.png;True;502;16,96;2,07;0,0
045676.png;True;135;16,61;0,92;0,0
045717.png;True;228;16,51;1,16;0,0
045732.png;True;230;16,57;1,16;0,0
045871.png;True;456;16,47;1,84;0,0
045891.png;True;154;17,26;0,94;0,0
045916.png;True;153;19,06;0,94;0,0
045940.png;True;154;16,99;0,97;0,0
045943.png;True;127;16,9;0,74;0,0
045950.png;True;154;16,67;0,93;0,0
045969.png;True;222;16,5;1,16;0,0
045972.png;True;155;16,57;0,93;0,0
045975.png;True;116;16,52;0,71;0,0
045977.png;True;167;16,78;0,94;0,0
045984.png;True;587;16,6;2,28;0,0
045987.png;True;237;16,67;1,18;0,0
045998.png;True;441;16,67;1,87;0,0
045999.png;True;121;17,15;0,72;0,0
046003.png;True;230;17,0;1,19;0,0
046004.png;True;441;16,97;1,97;0,0
046012.png;True;157;16,47;0,94;0,0
046016.png;True;158;16,57;0,93;0,0
046020.png;True;2331;16,67;8,28;0,0
046023.png;True;227;16,57;1,16;0,0
046024.png;True;441;16,99;1,84;0,0
046029.png;True;230;16,5;1,16;0,0
046030.png;True;235;16,72;1,18;0,0
046033.png;True;221;16,77;1,17;0,0
046044.png;True;154;18,6;0,94;0,0
046047.png;True;142;16,92;0,95;0,0
046049.png;True;1067;17,01;3,97;0,0
046057.png;True;671;16,68;2,73;0,0
046062.png;True;155;16,52;0,93;0,0
046063.png;True;157;16,39;0,93;0,0
046064.png;True;532;17,4;2,09;0,0
046066.png;True;136;16,43;0,93;0,0
046067.png;True;237;16,76;1,17;0,0
046068.png;True;154;16,78;0,96;0,0
046069.png;True;191;17,28;0,95;0,0
046070.png;True;231;18,01;1,19;0,0
046071.png;True;154;16,77;0,96;0,0
046072.png;True;154;17,02;0,96;0,0
046073.png;True;186;17,01;0,99;0,0
046075.png;True;157;16,64;0,94;0,0
046078.png;True;136;16,53;0,93;0,0
046079.png;True;154;16,59;0,94;0,0
046080.png;True;154;16,66;0,94;0,0
046082.png;True;443;16,61;1,83;0,0
046083.png;True;152;16,97;0,93;0,0
046085.png;True;155;17,22;0,94;0,0
046087.png;True;228;16,56;1,21;0,0
046089.png;True;223;16,74;1,17;0,0
046092.png;True;155;16,94;0,97;0,0
046096.png;True;252;17,0;1,2;0,0
046101.png;True;154;16,56;0,93;0,0
046116.png;True;154;16,63;0,93;0,0
046118.png;True;127;16,59;0,72;0,0
046119.png;True;136;16,68;0,96;0,0
046120.png;True;154;16,72;0,94;0,0
046121.png;True;154;16,59;0,94;0,0
046122.png;True;228;16,48;1,15;0,0
046124.png;True;154;17,27;1,25;0,0
046125.png;True;446;18,22;2,17;0,0
046128.png;True;230;16,61;1,2;0,0
046129.png;True;158;17,13;0,96;0,0
046130.png;True;582;16,99;2,36;0,0
046137.png;True;135;16,65;0,93;0,0
046139.png;True;157;16,59;0,94;0,0
046140.png;True;155;16,82;0,95;0,0
046146.png;True;150;16,61;0,94;0,0
046147.png;True;224;16,71;1,18;0,0
046148.png;True;227;16,63;1,17;0,0
046152.png;True;236;16,47;1,17;0,0
046163.png;True;521;16,96;2,13;0,0
046166.png;True;233;18,35;1,17;0,0
046167.png;True;671;16,94;2,81;0,0
046171.png;True;327;16,95;1,42;0,0
046172.png;True;155;16,66;1,01;0,0
046173.png;True;155;16,54;0,93;0,0
046174.png;True;123;16,4;0,73;0,0
046175.png;True;237;16,6;1,18;0,0
046178.png;True;158;16,56;0,93;0,0
046181.png;True;154;16,65;0,98;0,0
046182.png;True;416;16,55;1,87;0,0
046183.png;True;125;16,5;0,79;0,0
046186.png;True;228;18,01;1,51;0,0
046187.png;True;155;16,61;0,95;0,0
046189.png;True;231;16,94;1,19;0,0
046190.png;True;154;16,98;0,97;0,0
046191.png;True;162;16,56;0,94;0,0
046192.png;True;135;16,46;0,93;0,0
046199.png;True;155;17,09;0,94;0,0
046200.png;True;671;16,51;2,57;0,0
046201.png;True;443;16,52;1,85;0,0
046203.png;True;446;16,6;1,84;0,0
046204.png;True;446;16,54;1,84;0,0
046210.png;True;154;16,66;0,94;0,0
046215.png;True;122;16,61;0,72;0,0
046217.png;True;154;16,98;0,97;0,0
046219.png;True;443;17,04;1,91;0,0
046221.png;True;160;16,62;0,94;0,0
046222.png;True;155;16,56;0,94;0,0
046223.png;True;501;17,01;2,06;0,0
046226.png;True;230;16,52;1,16;0,0
046227.png;True;425;16,59;1,83;0,0
046231.png;True;223;16,71;1,16;0,0
046232.png;True;155;16,69;0,94;0,0
046236.png;True;154;17,48;0,94;0,0
046238.png;True;154;18,52;0,93;0,0
046239.png;True;230;16,75;1,2;0,0
046240.png;True;154;17,02;0,96;0,0
046242.png;True;667;16,96;2,59;0,0
046243.png;True;482;16,63;2,08;0,0
046245.png;True;237;16,57;1,18;0,0
046246.png;True;155;16,59;0,94;0,0
046247.png;True;137;16,65;1,1;0,0
046249.png;True;155;16,57;0,93;0,0
046251.png;True;232;16,6;1,18;0,0
046252.png;True;125;16,65;0,73;0,0
046253.png;True;155;16,62;0,98;0,0
046254.png;True;665;17,07;2,6;0,0
046256.png;True;157;17,34;0,98;0,0
046258.png;True;446;17,04;2,0;0,0
046259.png;True;154;16,43;0,94;0,0
046260.png;True;149;16,7;0,94;0,0
046261.png;True;499;16,48;2,05;0,0
046264.png;True;490;16,65;2,05;0,0
046265.png;True;154;16,54;0,99;0,0
046266.png;True;155;16,64;0,93;0,0
046267.png;True;675;16,66;2,77;0,0
046268.png;True;157;17,58;0,93;0,0
046270.png;True;154;17,7;0,94;0,0
046271.png;True;236;16,89;1,21;0,0
046272.png;True;157;17,12;0,96;0,0
046276.png;True;154;17,27;0,94;0,0
046279.png;True;158;16,79;0,96;0,0
046281.png;True;157;16,49;0,94;0,0
046282.png;True;684;16,68;2,78;0,0
046283.png;True;155;16,58;0,94;0,0
046284.png;True;290;16,75;1,39;0,0
046285.png;True;123;16,69;0,72;0,0
046287.png;True;154;16,6;1,0;0,0
046290.png;True;154;16,76;0,94;0,0
046295.png;True;164;16,58;0,94;0,0
046296.png;True;155;16,52;0,94;0,0
046297.png;True;154;17,19;0,94;0,0
046299.png;True;445;16,44;1,91;0,0
046302.png;True;525;16,55;2,06;0,0
046303.png;True;228;16,88;1,16;0,0
046309.png;True;158;16,39;0,94;0,0
046310.png;True;128;16,64;0,73;0,0
046311.png;True;883;16,49;3,39;0,0
046312.png;True;82;16,54;0,71;0,0
046314.png;True;154;16,7;0,98;0,0
046315.png;True;240;16,57;1,17;0,0
046316.png;True;137;17,04;0,96;0,0
046318.png;True;447;17,0;1,9;0,0
046326.png;True;432;16,83;2,02;0,0
046328.png;True;147;16,74;0,94;0,0
046330.png;True;223;16,5;1,17;0,0
046331.png;True;154;16,6;0,93;0,0
046332.png;True;231;16,55;1,16;0,0
046333.png;True;154;16,54;0,95;0,0
046334.png;True;196;16,55;0,94;0,0
046335.png;True;154;16,68;0,95;0,0
046336.png;True;230;16,65;1,18;0,0
046341.png;True;155;16,56;0,98;0,0
046342.png;True;154;17,14;0,99;0,0
046343.png;True;138;16,97;0,95;0,0
046346.png;True;154;16,65;0,94;0,0
046347.png;True;151;16,37;0,92;0,0
046348.png;True;154;16,93;0,93;0,0
046349.png;True;233;16,45;1,16;0,0
046353.png;True;2306;16,68;8,18;0,0
046354.png;True;161;16,57;0,94;0,0
046355.png;True;154;16,65;0,94;0,0
046356.png;True;154;17,19;0,97;0,0
046361.png;True;236;16,66;1,17;0,0
046362.png;True;503;18,58;2,11;0,0
046363.png;True;393;16,87;1,67;0,0
046364.png;True;2247;16,55;7,99;0,0
046365.png;True;121;16,68;0,72;0,0
046366.png;True;520;16,87;2,07;0,0
046367.png;True;445;16,58;1,84;0,0
046368.png;True;580;16,49;2,29;0,0
046369.png;True;122;16,43;0,71;0,0
046370.png;True;154;16,79;0,92;0,0
046371.png;True;154;16,59;0,93;0,0
046372.png;True;231;16,87;1,24;0,0
046373.png;True;446;17,08;1,9;0,0
046374.png;True;154;16,79;0,96;0,0
046377.png;True;157;16,53;0,93;0,0
046378.png;True;143;16,86;0,95;0,0
046386.png;True;160;17,0;0,95;0,0
046387.png;True;154;16,77;0,94;0,0
046388.png;True;155;16,67;0,94;0,0
046389.png;True;154;16,65;0,94;0,0
046392.png;True;155;16,42;0,93;0,0
046394.png;True;154;17,4;0,94;0,0
046395.png;True;447;18,58;1,85;0,0
046398.png;True;154;16,64;0,97;0,0
046399.png;True;154;17,18;0,97;0,0
046400.png;True;155;17,08;0,96;0,0
046401.png;True;230;16,72;1,16;0,0
046402.png;True;425;16,51;1,83;0,0
046403.png;True;154;16,73;0,94;0,0
046404.png;True;134;16,62;0,75;0,0
046407.png;True;154;16,51;0,93;0,0
046411.png;True;123;16,71;0,73;0,0
046412.png;True;111;16,81;0,75;0,0
046413.png;True;121;16,72;0,75;0,0
046414.png;True;154;17,02;0,93;0,0
046415.png;True;502;16,91;2,1;0,0
046416.png;True;154;17,08;0,99;0,0
046417.png;True;444;16,67;1,86;0,0
046418.png;True;252;16,68;1,19;0,0
046421.png;True;124;16,51;0,73;0,0
046422.png;True;157;16,46;0,92;0,0
046423.png;True;158;16,71;0,98;0,0
046424.png;True;152;16,73;0,94;0,0
046425.png;True;120;16,63;0,72;0,0
046428.png;True;161;19,17;1,12;0,0
046429.png;True;155;18,06;1,44;0,0
046430.png;True;154;16,95;0,95;0,0
046431.png;True;120;16,95;0,74;0,0
046432.png;True;230;17,04;1,17;0,0
046434.png;True;154;16,64;0,94;0,0
046435.png;True;169;16,73;0,95;0,0
046436.png;True;158;16,74;0,94;0,0
046437.png;True;150;17,06;0,93;0,0
046438.png;True;155;16,67;0,94;0,0
046439.png;True;154;16,67;0,94;0,0
046440.png;True;158;16,71;0,94;0,0
046441.png;True;122;16,63;0,72;0,0
046442.png;True;234;16,73;1,2;0,0
046443.png;True;155;17,04;0,95;0,0
046444.png;True;228;16,93;1,19;0,0
046445.png;True;262;16,6;1,2;0,0
046446.png;True;155;16,69;0,94;0,0
046447.png;True;227;16,89;1,16;0,0
046450.png;True;157;16,58;0,93;0,0
046451.png;True;225;16,81;1,2;0,0
046452.png;True;236;16,56;1,16;0,0
046453.png;True;155;16,64;0,93;0,0
046454.png;True;441;17,51;1,85;0,0
046456.png;True;228;17,63;1,17;0,0
046457.png;True;330;17,02;1,53;0,0
046459.png;True;152;17,02;0,95;0,0
046460.png;True;138;16,42;0,92;0,0
046461.png;True;154;16,58;0,94;0,0
046463.png;True;239;16,55;1,16;0,0
046464.png;True;154;16,55;0,93;0,0
046467.png;True;158;16,68;0,94;0,0
046468.png;True;158;16,51;0,93;0,0
046471.png;True;445;16,6;1,88;0,0
046472.png;True;158;16,67;0,93;0,0
046473.png;True;158;16,61;0,95;0,0
046474.png;True;155;16,83;0,95;0,0
046475.png;True;223;16,68;1,16;0,0
046476.png;True;155;16,87;0,94;0,0
046477.png;True;126;16,63;0,72;0,0
046478.png;True;154;16,68;0,93;0,0
046480.png;True;228;16,66;1,16;0,0
046482.png;True;154;16,68;0,93;0,0
046483.png;True;154;16,77;0,93;0,0
046484.png;True;223;16,62;1,17;0,0
046486.png;True;130;16,71;0,72;0,0
046488.png;True;154;17,11;1,44;0,0
046491.png;True;154;19,0;0,98;0,0
046492.png;True;154;17,05;0,97;0,0
046493.png;True;148;17,03;0,96;0,0
046495.png;True;154;16,89;0,94;0,0
046496.png;True;126;16,52;0,72;0,0
046497.png;True;155;16,61;0,94;0,0
046498.png;True;122;16,74;0,72;0,0
046499.png;True;154;16,65;0,94;0,0
046500.png;True;228;16,77;1,17;0,0
046501.png;True;154;16,62;0,93;0,0
046502.png;True;154;16,86;0,94;0,0
046503.png;True;119;17,14;0,72;0,0
046504.png;True;115;18,99;0,72;0,0
046505.png;True;229;17,18;1,19;0,0
046506.png;True;155;17,09;0,96;0,0
046507.png;True;497;16,56;2,07;0,0
046508.png;True;231;16,55;1,16;0,0
046509.png;True;154;16,53;0,93;0,0
046510.png;True;118;16,62;0,72;0,0
046511.png;True;111;16,88;0,72;0,0
046512.png;True;154;16,43;0,94;0,0
046513.png;True;719;16,72;3,2;0,0
046514.png;True;684;16,59;2,72;0,0
