Filename;Hidden Content Present;Estimated Size of Hidden Content (Bytes);Speed Hidden Content Present (ms);Speed Size Estimation (ms);Speed Recovering Hidden Content (ms)
008579.png;True;207;1,05;1,14;0
009804.png;True;154;1,05;0,91;0
009995.png;True;154;1,05;0,91;0
010092.png;True;160;1,04;0,91;0
010149.png;True;219;1,04;1,13;0
010175.png;True;154;1,05;0,91;0
010191.png;True;154;1,09;0,91;0
010258.png;True;154;1,04;0,91;0
010263.png;True;153;1,06;0,91;0
010285.png;True;155;1,05;0,91;0
010392.png;True;502;1,04;2;0
010437.png;True;227;1,06;1,14;0
010513.png;True;383;1,06;1,58;0
010517.png;True;154;2,64;2,24;0
010573.png;True;443;1,77;3,02;0
010729.png;True;223;1,33;1,43;0
010807.png;True;154;2,66;2,23;0
010905.png;True;154;1,79;1,63;0
011029.png;True;230;1,48;1,44;0
011075.png;True;154;1,19;1,03;0
011076.png;True;446;1,07;1,84;0
011094.png;True;155;1,01;0,88;0
011096.png;True;230;1,02;1,1;0
011107.png;True;140;1,02;0,88;0
011152.png;True;154;1,02;0,89;0
011214.png;True;120;1,02;0,72;0
011232.png;True;134;1,02;0,69;0
011318.png;True;154;1,02;0,89;0
011354.png;True;155;1,09;0,89;0
011400.png;True;669;1,02;3,33;0
011493.png;True;425;1,09;1,94;0
011631.png;True;130;1,05;0,7;0
011653.png;True;154;1,02;0,89;0
011832.png;True;154;1,18;0,97;0
011848.png;True;123;1,02;0,68;0
011850.png;True;331;1,01;1,32;0
011853.png;True;236;1,01;1,1;0
011884.png;True;446;1,03;1,75;0
011941.png;True;155;1,06;0,95;0
011984.png;True;154;1,03;0,89;0
012011.png;True;154;1,03;0,89;0
012022.png;True;154;1,01;0,93;0
012023.png;True;154;1,03;0,89;0
012035.png;True;152;1,01;0,88;0
012113.png;True;154;1,02;0,89;0
012207.png;True;157;1,06;0,92;0
012213.png;True;111;1,13;0,73;0
012230.png;True;154;1,24;1,81;0
012273.png;True;235;1,07;1,42;0
012302.png;True;154;1,72;2,13;0
012353.png;True;145;1,03;1,08;0
012356.png;True;154;1,06;0,92;0
012370.png;True;444;1,13;1,75;0
012447.png;True;154;1,1;0,89;0
012464.png;True;157;1,02;0,88;0
012475.png;True;137;1,07;0,88;0
012502.png;True;155;1,02;0,9;0
012634.png;True;153;1,04;0,88;0
012652.png;True;126;1,07;0,69;0
012657.png;True;154;1,04;0,89;0
012700.png;True;116;1,09;0,7;0
012733.png;True;154;1,07;0,94;0
012862.png;True;240;1,04;1,14;0
012885.png;True;157;1,04;0,9;0
012973.png;True;155;1,09;0,93;0
012978.png;True;262;1,08;1,16;0
013054.png;True;586;1,08;2,23;0
013124.png;True;148;1,04;0,91;0
013159.png;True;154;1,06;0,92;0
013199.png;True;501;1,04;2,05;0
013222.png;True;157;1,04;0,9;0
013325.png;True;154;1,05;0,91;0
013354.png;True;655;1,04;2,48;0
013604.png;True;399;1,04;1,58;0
013654.png;True;442;1,03;1,79;0
013669.png;True;155;1,04;0,9;0
013673.png;True;2247;1,03;7,78;0
013722.png;True;446;1,02;1,77;0
013729.png;True;230;1,01;1,1;0
013731.png;True;154;1,08;0,9;0
013750.png;True;123;1,02;0,69;0
013766.png;True;157;1,01;0,88;0
013808.png;True;237;1,03;1,12;0
013817.png;True;290;1,01;1,31;0
013837.png;True;155;1,03;0,88;0
013968.png;True;132;1,05;0,68;0
014024.png;True;232;2,65;2,72;0
014035.png;True;234;1,83;1,93;0
014062.png;True;225;1,38;1,45;0
014068.png;True;228;1,19;1,29;0
014118.png;True;114;1,13;0,69;0
014126.png;True;524;1,02;1,97;0
014163.png;True;154;1,02;0,89;0
014176.png;True;155;1,02;1,25;0
014193.png;True;230;1,02;1,1;0
014206.png;True;157;1,02;0,89;0
014311.png;True;122;1,01;0,68;0
014326.png;True;232;1,02;1,11;0
014352.png;True;154;1,02;0,89;0
014384.png;True;266;1,01;1,12;0
014394.png;True;148;1,01;0,88;0
014432.png;True;155;1,03;0,88;0
014558.png;True;154;1,02;0,89;0
014604.png;True;236;1,01;1,36;0
014610.png;True;111;1,02;0,73;0
014698.png;True;2247;1,02;7,6;0
014809.png;True;153;1,04;0,89;0
014813.png;True;111;1,02;0,72;0
014827.png;True;227;1,01;1,1;0
014908.png;True;154;1,03;0,88;0
014944.png;True;666;1,06;2,52;0
014957.png;True;154;1,04;0,88;0
014972.png;True;228;1,03;1,11;0
015000.png;True;142;1,02;0,93;0
015007.png;True;158;1,04;0,9;0
015027.png;True;136;1,02;0,88;0
015041.png;True;116;1,22;0,78;0
015127.png;True;157;1,03;0,89;0
015159.png;True;126;1,04;0,69;0
015172.png;True;155;1,11;0,93;0
015257.png;True;230;1,02;1,1;0
015345.png;True;222;1,02;1,31;0
015452.png;True;657;1,03;2,42;0
015463.png;True;230;1,03;1,1;0
015524.png;True;527;1,02;2,24;0
015554.png;True;499;1,09;2,03;0
015567.png;True;456;1,07;1,81;0
015598.png;True;154;1,04;0,9;0
