Filename;Hidden Content Present;Estimated Size of Hidden Content (Bytes);Speed Hidden Content Present (ms);Speed Size Estimation (ms);Speed Recovering Hidden Content (ms)
027701.png;True;207;3,83;1,07;0
028612.png;True;154;4,39;0,86;0
028647.png;True;154;4,03;0,87;0
028692.png;True;160;3,84;0,86;0
028981.png;True;219;3,87;1,07;0
029096.png;True;154;4,08;0,88;0
029359.png;True;154;4,16;0,89;0
029362.png;True;154;4,08;0,89;0
029386.png;True;153;4,03;0,89;0
029484.png;True;155;3,99;0,91;0
029548.png;True;502;4;1,96;0
029562.png;True;227;4,03;1,1;0
029676.png;True;383;3,99;1,56;0
029799.png;True;154;3,95;0,88;0
029835.png;True;443;3,99;1,75;0
029842.png;True;223;3,99;1,1;0
029985.png;True;154;7,24;1,47;0
029997.png;True;154;4,72;0,95;0
030060.png;True;230;3,98;1,1;0
030092.png;True;154;3,98;0,88;0
030197.png;True;446;3,97;1,75;0
030390.png;True;155;3,97;0,89;0
030403.png;True;230;4,03;1,11;0
030416.png;True;140;6,56;1,29;0
030456.png;True;154;4,36;0,96;0
030460.png;True;120;3,99;0,68;0
030504.png;True;134;3,99;0,68;0
030519.png;True;154;3,99;0,88;0
030582.png;True;155;3,98;0,89;0
030611.png;True;669;3,97;2,41;0
030660.png;True;425;3,98;1,74;0
030664.png;True;130;3,96;0,7;0
030665.png;True;154;4,01;0,88;0
030776.png;True;154;3,97;0,88;0
030816.png;True;123;3,98;0,69;0
030822.png;True;331;3,97;1,33;0
030823.png;True;236;3,98;1,11;0
030844.png;True;446;3,98;1,75;0
030887.png;True;155;4,35;0,92;0
030896.png;True;154;4,07;0,95;0
030995.png;True;154;4,54;1,18;0
031002.png;True;154;4,06;0,89;0
031079.png;True;154;4,07;0,91;0
031158.png;True;152;4,24;0,91;0
031239.png;True;154;4,2;0,91;0
031299.png;True;157;4,08;0,91;0
031497.png;True;111;4,07;0,7;0
031559.png;True;154;4,07;0,91;0
031594.png;True;235;4,09;1,13;0
031598.png;True;154;4,11;0,9;0
031600.png;True;145;5,46;0,89;0
031609.png;True;154;5,59;1,89;0
031613.png;True;444;4,04;1,76;0
